"objectid","parking_space_id","post_id","ms_pay_station_id","ms_space_num","sensor_flag","on_offstreet_type","osp_id","jurisdiction","pm_district_id","blockface_id","active_meter_flag","reason_code","smart_meter_flag","meter_type","meter_vendor","meter_model","cap_color","pco_beat","old_rate_area","street_id","street_name","street_num","parity_digit_position","street_seg_ctrln_id","orientation","longitude","latitude","legislation_ref","legislation_dt","work_order","comments","collection_route","collection_subroute","pmr_route","nfc_key","spt_code","collection_route_desc","collection_subroute_desc","shape","data_as_of","data_loaded_at","analysis_neighborhood","supervisor_district",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq"
"152244",,"591-19310","-","0",,"ON",,"SFMTA","36","591191","M","-",,"SS","IPS","M5","Grey",,,"591","OCEAN AVE","1931",,"9832102",,"-122.46327330150001","37.7255629998",,,,,"318","318-1","O-1",,,"Ocean Ave: 1000 - 1900","Ocean 1000-1700","POINT (-122.463273301 37.725563)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","West of Twin Peaks","7","41","67","67","10","8"
"158688",,"542-00070","542-00001","7",,"ON",,"SFMTA","3","542001","M","-",,"MS","MacKay","Elite","Grey",,,"542","LARKIN ST","7",,"8120000",,"-122.4165394974","37.7780340993",,,,,"M-414","M-414","J-4",,,"Larkin St: 100 - 300","Larkin St. 100, 300","POINT (-122.416539497 37.778034099)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Tenderloin","6","36","21","21","5","10"
"150726",,"202-06510","-","0",,"ON",,"SFMTA","2","202061","U","UC",,"SS","IPS","M5","Grey",,,"202","02ND ST","651",,"147000",,"-122.3907597975","37.7809138027",,,,,,,"M-3",,,,,"POINT (-122.390759797 37.780913803)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Financial District/South Beach","6","8","31","31","1","10"
"150973",,"691-15150","-","0",,"ON",,"SFMTA","8","691151","M","-",,"SS","MacKay","mkBeacon","Yellow",,,"691","UNION ST","1515",,"12864000",,"-122.4246380978","37.7984068011",,,,,"215","215-1","F-2",,,"Union St:1500-2200 Fillmore St","Union","POINT (-122.424638098 37.798406801)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Marina","2","13","15","15","4","6"
"150150",,"650-36390","-","0",,"ON",,"SFMTA","19","650361","M","-",,"SS","MacKay","mkBeacon","Yellow",,,"650","SACRAMENTO ST","3639",,"11268000",,"-122.45341460200001","37.7873140004",,,,,"103","103-3","C-2",,,"Divisadero St: Sacramento St","Divisadero - Sacramento","POINT (-122.453414602 37.787314)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Presidio Heights","2","31","10","10","8","6"
"160903",,"470-05530","-","0",,"ON",,"SFMTA","1","470051","M","-",,"SS","IPS","M5","Grey",,,"470","HOWARD ST","553",,"7033000",,"-122.3972296991","37.7874650982",,,,,"404","404-1","M-2",,,"Howard St: Unit - 600 Bryan St","Howard Unit-600","POINT (-122.397229699 37.787465098)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Financial District/South Beach","6","8","32","32","1","10"
"155466",,"401-07040","-","0",,"ON",,"SFMTA","15","401072","M","-",,"SS","IPS","M5","Yellow",,,"401","ELLIS ST","704",,"5178000",,"-122.4180065987","37.7842713025",,,,,"415","415-2","E-4",,,"Ellis St: Unit - 900","Ellis Unit-300","POINT (-122.418006599 37.784271303)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Tenderloin","5","36","20","20","5","10"
"155891",,"680-12040","-","0",,"ON",,"SFMTA","26","680122","M","-",,"SS","IPS","M5","Grey",,,"680","TARAVAL ST","1204",,"12398000",,"-122.4791979005","37.742978298000004",,,,,"321","321-2","A-2",,,"Taraval St: 400 - 1800","Taraval","POINT (-122.479197901 37.742978298)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Sunset/Parkside","4","35","40","40","10","7"
"157456",,"218-34330","-","0",,"ON",,"SFMTA","4","218341","M","-",,"SS","IPS","M5","Grey",,,"218","18TH ST","3433",,"879000",,"-122.4206442998","37.7617031009",,,,,"334","334-2","R-3",,,"Mission St: 2100 - 2400","Mission 2100-2400","POINT (-122.4206443 37.761703101)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Mission","9","20","53","53","3","2"
"155740",,"614-11010","-","0",,"ON",,"SFMTA","15","614111","U","U1",,"-","-","-","-",,,"614","POST ST","1101",,"10640000",,"-122.4200524983","37.7867303015",,,,,,,"E-3",,,,,"POINT (-122.420052498 37.786730302)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Tenderloin","3","36","50","50","4","3"
